脸红仆仆@成长@苹果的脸红仆仆的，像在诉说着自己的成长	果园里，
尊严@青草@尊严是一颗稚嫩的青草	它需要那微风的抚摸，需要露水的滋润。
月球@亘古@月球上就像是一片亘古荒原一样没有生命	渺无人烟。
记忆@雪花@记忆是雪花	虽然总归要融化，但它飘舞过。
风@仙女@朵朵雪花随风旋转，像一个个身穿白纱裙的小仙女	在空中轻盈地舞蹈。
爱@建筑@安静的爱像希腊式建筑	激情的爱像哥特式建筑。
喜欢@清泉@喜欢是清泉	能滋润即将枯萎的禾苗。
落叶@云彩@落叶像一片片飞落的云彩	美极了。
爱心@明月@爱心是夜空中的一轮明月	使孤苦无依的人即刻获得心灵的慰藉。
面容@菜叶子@母亲苍老的面容，就像隔天了的菜叶子	布满皱纹。
眼睛@弯弓@妹妹的眼睛亮晶晶的，就像一对优美的弯弓	眉毛弯弯的。
羊羔@绒球@小羊羔胖乎乎，像一团团绒球贴在身上	白生生；蜷曲的毛。
太阳@火球@初升的太阳犹如巨大的火球	从东边冉冉升起。
公鸡@召唤者@公鸡像一个召唤者	鸣叫几声太阳就出来了。
母亲@天空@母亲是天空	我们是翱翔的小鸟；母亲是大海，我们是漂浮的船。
月儿@老人@月儿像饱经风霜的老人	不紧不慢地梳理着白花花的月光。
雪花@花瓣@纷纷飘落的雪花像淡雅的花瓣	令人陶醉。
湖面@镜子@湖面平静，好似一面晶莹剔透的镜子	将水中的鱼儿全都倒映了出来。
人生@是@人生就好像是回力标一样	你投掷出的是什么，收到就是什么。
春风@扫把@春风像一把巨大的扫把	扫走了大地的积雪。
秋天@神笔@秋天像一支神笔	一夜之间把枫树的叶子全涂红了。
谎言@毒品@谎言是一种毒品	让人越陷越深。
父亲@提款@父亲是一个自动提款机器	对他撒一下娇，零食无忧。
人@蜗牛@上海仿佛希望每个新来的人都像只戴壳的蜗牛	随身带着宿舍。
朋友@阳光@朋友是一缕金色的阳光	照亮你的整个世界。
谅解@阳光@谅解是一束温暖的阳光	能驱散积聚在人们心头的阴云。
胡萝卜@老爷爷@胡萝卜像一位长着胡须的老爷爷	用慈祥的眼睛看着我。
心@兔子@内心的恐慌立刻提到了嗓子眼，心也像一只惊慌的兔子	七上八下地跳着。
时间@鱼鳞@时间像一枚枚鱼鳞	零碎，而又完整。
玉米@海洋@庄稼地里的玉米成熟了，远远望去就像一片金色的海洋	秋天，
爱情@落叶@爱情是秋季里的落叶	带来患得患失的惆怅。
苹果@脸@水果摊上的苹果红彤彤的像小朋友的脸	黄澄澄的橘子像一个小小的皮球。
童年@色@童年像美丽的七色彩虹	魅力无穷，让人神往。
岁月@红梅@岁月仿佛枝头的傲雪红梅	不管怎么风华绝代，终归还是要面临凋零。
玫瑰@珍珠@黑玫瑰如同闪亮的珍珠	在夜光中绽放着无言的尊贵。
弯月@船似@夜空中的弯月像一只小船似的	在浩瀚星海中缓缓前行。
妈妈@风@妈妈像一阵和煦的风	吹去朔雪纷飞，带来春光无限。
母亲@蒙蒙细雨@母亲像一阵蒙蒙细雨	洗净尘垢，留下嫩土。
树叶@蝴蝶@树叶纷纷落下来，活像一只只翩翩起舞的蝴蝶	秋天的校园是美丽的，
队伍@巨龙@队伍长得像一条巨龙一样	蜷缩在小小的大厅。
森林@女性@森林像母亲一样给我们女性的温柔	我们和初春的绿芽一起发育生长，在秋天的枫叶中带着松香的气息分娩。
书籍@顾问@书籍就像一个专业的顾问	当你在遇到不懂的专业知识的时候，它能够帮你找到答案。
懒惰@锁@懒惰像把锁	锁住你大好的前途，锁住你人生中所有的光辉。
裂缝@小姑娘@“红衣服”还出现了裂缝，像个卷发的小姑娘	一些皮都卷起来了。
青春@音乐@青春是美妙的音乐	用它跳跃的音符谱写生活的旋律。
竹笋@小姑娘@当春风拂去层层笋衣，竹笋便像个活泼的小姑娘	婷婷玉立在明媚的春光里。
时光@块@时光是块磨刀石	等待着好刀刃。
长城@战士@长城更是无畏的战士	它时刻准备着与我们中国共兴共亡。
痛苦@折磨@痛苦是心灵最深的折磨	无泪且无法直言。
荷叶@翡翠盘@一片片碧绿的大荷叶，如同一只只耀眼的翡翠盘	托起冰肌玉骨的荷花。
生活@白开水@生活像白开水	无味却是必然。
秋天@画卷@秋天就像一幅美丽的画卷	充满诗情画意。
荷叶@衣裙@那荷叶既像小女孩旋转的衣裙	密密麻麻、高高低低地布满整个池面，几乎看不到水。
眼睛@玻璃球@小金鱼的眼睛半透明，就像两颗玻璃球	漂亮极了。
生命@乐曲@生命是优美的乐曲	音律和谐，宛转悠扬。
迎春花@焰火@迎春花就像黄色的焰火	在春风的吹拂下舞动。
眼泪@琥珀@眼泪是一滴琥珀	晶莹剔透的永远炫耀在阳光下。
掌声@一面@掌声，是一面旗帜	能指引人们前进的方向。
母亲@太阳@母亲好像明亮的太阳让我看到了光明母亲好像温暖的阳光	让我满怀期望。
苹果@红灯笼@红红的苹果好像一个个红灯笼一样挂满了枝头	秋天来了，
真诚@暖阳@真诚如寒冬中的一缕暖阳	总能给人温和的感觉。
时间@沙@时间是沙	滑落指缝，飞向天际。
日出@娃娃@日出像一个刚醒的娃娃	从天边蹦了出来。
朋友@歌@朋友是一首歌	总是在我忧伤的时候响起悠扬的音乐。
边沿@花@红金鱼的头上长着一个红瘤子，像一顶红帽子、尾巴边沿是花的	像一条花裙子、它游起来像一朵红霞在飘动。
爱心@风@爱心是风	卷来浓密的云。
黑发@绵羊@一头黑发鬈曲得像绵羊尾巴	飘进飘出的女护士，
夏天@画家@夏天像一位大画家	画了一幅五彩缤纷的图画送给了人们。
母亲@大地@母亲是大地	我就是小草。
土地@职责@读懂土地一向是父亲的职责	父亲每一天都在它的身上刻画着美丽的诗篇。
故乡@家@故乡像一个家	走到哪里都想回去。
宛@枝条@宛如一朵玫瑰缀在长长的枝条上	在她躯干的前方，
尾巴@彩扇@只见一只花孔雀把尾巴抖得哗哗响，那漂亮的尾巴就像仙女手中的彩扇	慢慢散开。
音乐@茶@音乐像一杯茶	只要你仔细品味就能感受它的美。
湖面@镜子@湖面很平静，好似一面晶莹剔透的镜子	将水中的鱼儿全都倒映了出来。
降落伞@雪花@天空中的降落伞如飞舞的雪花	轻轻飘洒在大地。
柳叶@春蚕@雨雾纷纷扬扬地洒在柳叶上，像春蚕吞食桑叶	沙沙沙。
树叶@蝴蝶@树叶像蝴蝶一样慢慢的在空中飞舞	飘落的地面。
奋斗@街@奋斗是街	走出自己的路。
岩石@破土而出@山上的岩石，如破土而出的春笋	娇小玲珑。
闪电@箭@一道闪电像一支离弦之箭直射天空	在夜空里勾画出一道美丽的折线。
学习@帮助@读书和学习是在别人思想和知识的帮助下	建立起自己的思想和知识。
叶子@蝴蝶@枯黄的叶子像蝴蝶一样翩翩飞舞着落了下来	秋天到了，
区别@区别@男人和女人的区别就像是手枪和机关枪的区别	争吵的时候，
坚持@友情@坚持是密切的友情	时间越久越真切。
童年@奶茶@童年，像一杯温馨的奶茶	隐隐约约的解渴我们。
泪水@线@我的泪水像断了线一样	顿时，夺眶而出，
叫声@咪咪声@狗的叫声不像猫的咪咪声那样有气无力也不像老虎的叫声那样恐怖	而是中气十足，使人听起来有雄壮干脆的感觉。
电灯@星星@广场上的电灯像一颗颗星星	闪烁着光芒。
春天@小姑娘@春天像个害羞的小姑娘	遮遮掩掩、躲躲藏藏。
眼@蝴蝶@你的眼如美丽的蝴蝶	让我的心随之舞动。
荷花@风@荷花很美丽，摇曳的荷花像起舞的风中仙子	微风吹过。
月光@流水@月光似流水一样	从天空中泻下来。
母爱@优酸乳@母爱，像优酸乳	酸酸甜甜就是我。
乡愁@海峡@乡愁是一湾浅浅的海峡	我在这头，大陆在那头。
白云@汽车@白云在天上漂浮形态各异像汽车	什么样子的都有。
父亲@果汁@父亲的爱是一杯果汁	香甜醇美伴我左右。
音乐@清风@音乐是一股清风	吹走心中的杂念。
荷叶@小伞@碧绿的荷叶像一把撑在水面上的小伞	上面布满了晶莹的水珠。
磨难@网@磨难是一张网	禁锢着你的活力。
快乐@糖@快乐是一颗糖	让你心中甜蜜蜜的。
爱情@海风@爱情像凉爽的海风	吹开你紧锁的眉头。
心灵@天空@心灵是湛蓝的天空	包容着世间的一切。
运动员@子弹@运动员如刚发的子弹向终点飞去	听到一百米起跑的枪声，
心灵@泉水@心灵是一泓出现在沙漠里的泉水	使濒临绝境的人重新看到生活的希望。
芽@大拇指@绿豆上的芽向外伸展，像伸出的大拇指	在夸自己长得最棒。
瓦片@鱼鳞@屋顶上的瓦片压得密如鱼鳞	天河决口也不会漏进一点儿去。
母爱@围巾@母爱像一条围巾	为你驱走寒冷。
勤奋@路@勤奋是路	带你走向成功。
浮云@地席@弥漫长空的灰白浮云，好像一座帐篷把整个荒原当作它的地席	遮断了青天。
感恩@沃土@感恩是沃土	孕育硕大的果实。
父亲@灯@父亲是一盏照明的灯	黑暗时，
母爱@明灯@母爱是漆黑夜晚里的一盏明灯	让人看到方向。
真诚@尘土@真诚如一颗渺小的尘土	它带领着我们漫游天际。
童年@画@童年像一幅画	色彩绚丽，烂漫天真。
笑声@阳光@笑声如阳光	驱走人们脸上的冬天。
梦想@水@梦想是水	形成无边的海。
生活@万花筒@生活如一个万花筒	你身在其中有时却不知道它有多精彩。
太阳@那@太阳就像一个孩子一样从山的那一边	慢慢的爬起来。
雨@落叶@秋天的雨像树上的落叶	过了一场少一场。
泡沫@白雪@海浪激起的泡沫像一堆堆白雪	美极了。
心@乐园@在这美妙的时刻，愿你的心像乐园	盛开出娇艳的花朵。
梦想@翅膀@梦想，是一双翅膀	带着你翱翔在天空中。
书@人生@书是人生路标	他指引着我们人生。
眼睛@雪水@她的眼睛是那么的清澈，似天山脚下流淌的雪水	也似乎是夜空中明亮的星辰。
石头@脸颊@河里的石头像少女的脸颊	圆润光滑。
晨雾@白纱@晨雾像挂在空中的千万条待染的白纱	缓缓地摆动着，在朝阳下变幻奇异的色彩。
荷花@小姑娘@荷花很美丽，像一个羞红了脸的小姑娘	在风中翩翩起舞。
老师@雨露@老师是雨露	我们就是鲜花，是滋润了我们。
叶子@扇子@黄黄的叶子像一把把小扇子	扇哪扇哪，扇走了夏天的炎热。
父爱@伞@父爱如伞	遮挡我人生的风雨。
父母@书@父母的爱像一本书	表面平淡无奇，书里却充满知识。
椭圆形@羽毛@含羞草的叶子是椭圆形的，像一片片小羽毛一样轻	摸上去有一点粗糙。
黄色@刺鱼@菠萝的外皮是黄色的，就像一个小刺鱼	身上长满了刺。
粒粒@伯伯@成熟的稻谷粒粒都像被打肿了脸的小胖子集体弯着腰向农民伯伯致敬	秋天是收获的季节，
老师@字典@老师像字典	包含着许多字词意思，供我们查询阅览。
痛苦@拐杖@痛苦是人生的拐杖	它使强者更强，弱者更弱。
苦瓜@月牙@苦瓜像月牙	可浅绿色的表皮上却隆起许多卵形的小疙瘩。
秋天@蜜糖@秋天像蜜糖	让所有人都有一段温馨的回忆和甜蜜的享受。
友谊@春雨@友谊是一场春雨	是人受到心灵的滋润。
理想@海@理想是海	托起梦想之船。
生活@书@生活是一本书	蕴涵着深刻的哲理。
童年@清风@童年像一阵清风	把不愉快的事吹向远方。
逶迤@龙@它们拔地而起一座挨着一座高耸入云逶迤伸展像飞腾的龙	千姿百态，使人振奋。
草原@海洋@到了坝上草原，就像一片绿色的海洋	眼前就是一望无际的绿色。
麦苗@地毯@麦苗长得密集齐整，好像川裁刀削平的毛茸茸的绿色地毯铺资开来	远远望去，
生活@彩虹@生活是一弘彩虹	渲染着人生的风雨挫折。
梦想@光@梦想有时是一束光	能照亮心中黑暗。
歌声@黄莺@她的歌声如黄莺出谷	珠圆玉润，令人陶醉不已。
母亲@灯塔@母亲像金色的灯塔	时刻指明我前进的方向。
森林@海洋@森林是树的海洋	森林是鸟的天堂。
红旗@翻动@红旗像波浪似地翻动着	很壮观。
大叶子@扇子@梧桐树的大叶子像一把把大扇子	风儿一吹哗哗地扇起来。
叶子@绿宝石@叶子绿的像一颗晶莹剔透的绿宝石	春天到了，
溪水@天空@那溪水是那么清，仿佛又是一片天空	溪水映着蓝天白云。
朋友@良师@朋友是成功的日子里的一位良师	热情地将你引向阳光的地带。
唠叨@书@唠叨是书	多看可以知错。
眉毛@月亮@短而稀疏的眉毛，像初一夜的月亮	淡淡地悬挂在突出的前额上。
友谊@书@友谊是平凡日子里的一本好书	清晰地为你记载生命的感动。
青春@魔方@青春是一个神奇的魔方	转动着七彩的年华。
田野@火焰@田野里，像燃起的熊熊火焰	一片红艳艳的紫云英。
秋雨@眼泪@秋雨如眼泪	淋湿大地的脸庞。
光@歌@远处的森林闪着绿幽幽的光，像是唱着一支动听的歌	在微风中轻轻摇响绿叶。
青春@酒@青春是一杯酒	一杯酸酸甜甜的酒，果汁的味道白酒的性。
橘子@彩袍@橘子绿里发黄，像披着一件彩袍	淡黄色里还透着深黄色。
森林@地球@森林是地球之肺	净化空气让你呼吸。
云彩@茸毛@云彩像一朵朵皎白的茸毛	悄悄的飘浮在空中月亮像一个弯弯的香蕉挂在天上。
艺术@舞曲@艺术是一支舞曲	恢弘青春之彩。
爱心@歌谣@爱心是一首优扬动听的歌谣	使踽踽独行的人感到人生的美好。
鼓励@地@鼓励是地	滋养万物生息。
眼睛@灯@小花猫那圆圆的脸上嵌着一双又大又圆的眼睛，像两盏明亮的灯	如果在黑夜里看。
葡萄园@珍珠塔@葡萄园内碧云层叠，像座座珍珠塔	密匝匝的葡萄。
风@妈妈@春天的风像妈妈的手似的	软绵绵的，吹在脸上真舒服。
生活@藤@生活像一条藤	总结着几颗苦涩的瓜。
友谊@雨珠@友谊是温柔婉转的雨珠	让人滋润心田。
阳光@灯塔@阳光是航行时远处的灯塔	为我们指明方向。
蝶@枯叶@枯叶蝶像枯叶	所以叫枯叶蝶。
校园@花@美丽的校园像一位花仙子	把希望的鲜花种子洒满大地。
晚霞@火凤凰@晚霞像燃烧着的火凤凰	映红了天空。
春风@散花@春风是一位散花仙子	把大地装点得像一座花园。
微笑@火把@微笑如一个火把	指引我们走入知己的海洋。
